ticker,name,latest_close,ma20,ma50,return_20d_pct,return_60d_pct,volatility_20d_pct,above_ma20,above_ma50,ma20_above_ma50,positive_20d_return,positive_60d_return,acceptable_volatility,score,lead_status,checked_at
CSCO,Cisco,78.9,78.51,78.08,2.67,2.29,1.43,True,True,True,True,True,True,6,pass,2026-03-17T11:05:18.059440+00:00
CVX,Chevron,196.84,188.05,176.41,8.18,35.45,1.29,True,True,True,True,True,True,6,pass,2026-03-17T11:05:29.959928+00:00
NET,Cloudflare,207.33,189.24,185.86,5.86,4.96,3.84,True,True,True,True,True,True,6,pass,2026-03-17T11:05:46.079741+00:00
NFLX,Netflix,95.2,89.74,87.0,23.85,0.67,3.57,True,True,True,True,True,True,6,pass,2026-03-17T11:05:15.873824+00:00
NOC,Northrop Grumman,735.96,733.39,689.08,5.09,29.82,2.09,True,True,True,True,True,True,6,pass,2026-03-17T11:05:32.862417+00:00
RTX,RTX,206.06,204.52,199.07,3.34,14.9,1.88,True,True,True,True,True,True,6,pass,2026-03-17T11:05:33.279715+00:00
SMCI,Super Micro Computer,31.86,31.61,31.23,4.32,0.63,3.79,True,True,True,True,True,True,6,pass,2026-03-17T11:05:44.588885+00:00
VZ,Verizon,50.97,50.09,45.4,4.0,27.25,1.11,True,True,True,True,True,True,6,pass,2026-03-17T11:05:34.935876+00:00
XOM,Exxon Mobil,157.23,151.01,141.51,5.91,38.02,1.6,True,True,True,True,True,True,6,pass,2026-03-17T11:05:29.555904+00:00
COST,Costco,1001.74,998.21,972.52,-1.64,16.59,1.13,True,True,True,False,True,True,5,pass,2026-03-17T11:05:36.111209+00:00
JNJ,Johnson & Johnson,243.19,243.86,230.82,0.42,16.81,1.02,False,True,True,True,True,True,5,pass,2026-03-17T11:05:27.868975+00:00
MCD,McDonald's,326.65,329.24,318.8,0.27,4.44,0.9,False,True,True,True,True,True,5,pass,2026-03-17T11:05:37.646957+00:00
MU,Micron Technology,441.8,410.35,391.0,7.32,90.09,4.01,True,True,True,True,True,False,5,pass,2026-03-17T11:05:19.543791+00:00
SBUX,Starbucks,97.82,97.86,94.83,4.3,15.72,1.24,False,True,True,True,True,True,5,pass,2026-03-17T11:05:38.011144+00:00
WMT,Walmart,125.99,125.74,122.87,-5.9,9.16,1.69,True,True,True,False,True,True,5,pass,2026-03-17T11:05:36.477810+00:00
