ticker,name,latest_close,ma20,ma50,return_20d_pct,return_60d_pct,volatility_20d_pct,above_ma20,above_ma50,ma20_above_ma50,positive_20d_return,positive_60d_return,acceptable_volatility,score,lead_status,checked_at
AAL,American Airlines,10.49,12.36,13.83,-24.42,-34.4,3.4,False,False,False,False,False,True,1,reject,2026-03-17T11:05:41.123493+00:00
ADBE,Adobe,251.86,264.76,284.39,-4.59,-27.6,2.66,False,False,False,False,False,True,1,reject,2026-03-17T11:05:16.955172+00:00
AMD,Advanced Micro Devices,196.58,200.69,215.77,-5.18,-6.02,3.4,False,False,False,False,False,True,1,reject,2026-03-17T11:05:15.549421+00:00
AVGO,Broadcom,324.92,329.42,332.64,-0.08,-4.62,2.21,False,False,False,False,False,True,1,reject,2026-03-17T11:05:16.596200+00:00
AXP,American Express,298.2,317.09,343.44,-11.64,-21.51,2.69,False,False,False,False,False,True,1,reject,2026-03-17T11:05:26.684445+00:00
BAC,Bank of America,47.06,49.89,52.22,-9.94,-13.65,1.81,False,False,False,False,False,True,1,reject,2026-03-17T11:05:25.148976+00:00
CELH,Celsius Holdings,43.61,46.63,49.41,-2.39,1.07,4.12,False,False,False,False,True,False,1,reject,2026-03-17T11:05:48.100472+00:00
DAL,Delta Air Lines,60.84,64.44,67.64,-11.59,-14.25,3.07,False,False,False,False,False,True,1,reject,2026-03-17T11:05:40.401888+00:00
DIS,Disney,98.66,103.35,107.61,-6.44,-11.61,0.86,False,False,False,False,False,True,1,reject,2026-03-17T11:05:33.697936+00:00
F,Ford,11.71,13.09,13.42,-17.07,-13.41,2.31,False,False,False,False,False,True,1,reject,2026-03-17T11:05:41.515277+00:00
GM,General Motors,72.95,77.83,80.44,-9.81,-10.56,1.7,False,False,False,False,False,True,1,reject,2026-03-17T11:05:41.868037+00:00
GS,Goldman Sachs,794.77,862.64,904.11,-11.73,-9.12,2.49,False,False,False,False,False,True,1,reject,2026-03-17T11:05:24.399493+00:00
HD,Home Depot,342.58,364.34,369.88,-11.81,-2.21,1.46,False,False,False,False,False,True,1,reject,2026-03-17T11:05:36.846709+00:00
JPM,JPMorgan Chase,286.16,296.92,306.6,-5.42,-8.9,1.45,False,False,False,False,False,True,1,reject,2026-03-17T11:05:23.998329+00:00
LCID,Lucid Group,9.89,10.01,10.48,-3.79,-14.15,3.59,False,False,False,False,False,True,1,reject,2026-03-17T11:05:42.567882+00:00
LLY,Eli Lilly,989.12,1012.84,1036.14,-4.89,-6.02,1.86,False,False,False,False,False,True,1,reject,2026-03-17T11:05:27.446676+00:00
LOW,Lowe's,242.11,260.71,266.6,-15.76,-1.33,1.78,False,False,False,False,False,True,1,reject,2026-03-17T11:05:37.255893+00:00
MA,Mastercard,508.5,514.37,533.18,-1.9,-10.03,1.75,False,False,False,False,False,True,1,reject,2026-03-17T11:05:26.289349+00:00
META,Meta,627.45,646.79,653.61,-1.93,-4.52,1.73,False,False,False,False,False,True,1,reject,2026-03-17T11:05:14.894875+00:00
MS,Morgan Stanley,155.7,166.08,175.29,-9.03,-11.3,2.44,False,False,False,False,False,True,1,reject,2026-03-17T11:05:24.758556+00:00
MSFT,Microsoft,399.95,400.18,427.04,-0.11,-15.85,1.43,False,False,False,False,False,True,1,reject,2026-03-17T11:05:13.545016+00:00
NKE,Nike,54.79,59.98,62.02,-12.63,-17.83,1.63,False,False,False,False,False,True,1,reject,2026-03-17T11:05:38.504468+00:00
OKTA,Okta,77.16,76.85,84.07,-11.57,-14.83,4.21,True,False,False,False,False,False,1,reject,2026-03-17T11:05:47.107584+00:00
QCOM,Qualcomm,129.39,138.36,148.77,-7.45,-26.06,1.51,False,False,False,False,False,True,1,reject,2026-03-17T11:05:18.423346+00:00
RIVN,Rivian,15.33,15.49,16.11,-13.54,-14.36,3.24,False,False,False,False,False,True,1,reject,2026-03-17T11:05:42.222410+00:00
SOFI,SoFi Technologies,17.63,18.65,22.1,-10.1,-33.67,2.72,False,False,False,False,False,True,1,reject,2026-03-17T11:05:42.915887+00:00
TSLA,Tesla,395.56,403.73,419.56,-5.24,-19.25,1.88,False,False,False,False,False,True,1,reject,2026-03-17T11:05:14.238220+00:00
UAL,United Airlines,90.28,102.14,107.66,-17.39,-19.74,3.97,False,False,False,False,False,True,1,reject,2026-03-17T11:05:40.735804+00:00
V,Visa,310.11,315.27,325.44,-1.26,-9.96,1.37,False,False,False,False,False,True,1,reject,2026-03-17T11:05:25.946597+00:00
WFC,Wells Fargo,75.75,82.36,87.43,-12.91,-17.43,2.11,False,False,False,False,False,True,1,reject,2026-03-17T11:05:25.571071+00:00
ZM,Zoom Communications,74.96,80.1,85.1,-19.05,-14.73,3.44,False,False,False,False,False,True,1,reject,2026-03-17T11:05:43.927638+00:00
AI,C3.ai,8.8,9.42,11.24,-18.37,-39.27,5.56,False,False,False,False,False,False,0,reject,2026-03-17T11:05:44.249722+00:00
DUOL,Duolingo,101.95,104.3,128.74,-9.43,-45.41,4.71,False,False,False,False,False,False,0,reject,2026-03-17T11:05:47.774771+00:00
MDB,MongoDB,266.95,298.85,352.03,-27.54,-36.67,6.29,False,False,False,False,False,False,0,reject,2026-03-17T11:05:45.341192+00:00
TEAM,Atlassian,76.17,77.25,104.74,-9.73,-52.26,4.7,False,False,False,False,False,False,0,reject,2026-03-17T11:05:46.420670+00:00
ZS,Zscaler,153.69,157.69,184.33,-13.52,-33.98,4.79,False,False,False,False,False,False,0,reject,2026-03-17T11:05:46.759227+00:00
