ticker,name,market_regime,adjusted_setup_score,adjusted_setup_status,risk_decision,risk_notes,run_id,journaled_at,review_status,user_action,outcome,notes
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T08:43:46.489463+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T08:43:46.489463+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T08:43:46.489463+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T08:43:46.489463+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T08:43:46.489463+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T08:43:46.489463+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T08:43:46.489463+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T08:43:46.489463+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T08:43:46.489463+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T08:43:46.489463+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T08:53:59.461464+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T08:53:59.461464+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T08:53:59.461464+00:00,open,,,
XOM,Exxon Mobil,risk_off,4,watch,approved,clear,,2026-03-15T08:53:59.461464+00:00,open,,,
MU,Micron Technology,risk_off,3,watch,approved,clear,,2026-03-15T08:53:59.461464+00:00,open,,,
NFLX,Netflix,risk_off,3,watch,approved,clear,,2026-03-15T08:53:59.461464+00:00,open,,,
PANW,Palo Alto Networks,risk_off,3,watch,approved,clear,,2026-03-15T08:53:59.461464+00:00,open,,,
SBUX,Starbucks,risk_off,3,watch,approved,clear,,2026-03-15T08:53:59.461464+00:00,open,,,
NET,Cloudflare,risk_off,4,watch,caution,overextended,,2026-03-15T08:53:59.461464+00:00,open,,,
CRWD,CrowdStrike,risk_off,3,watch,caution,overextended,,2026-03-15T08:53:59.461464+00:00,open,,,
COST,Costco,risk_off,4,watch,approved,clear,,2026-03-15T09:13:08.627175+00:00,open,,,
CVX,Chevron,risk_off,4,watch,approved,clear,,2026-03-15T09:13:08.627175+00:00,open,,,
VZ,Verizon,risk_off,4,watch,approved,clear,,2026-03-15T09:13:08.627175+00:00,open,,,
